ta,tr,rh,vel_r,vel,clo_d,clo,activity_60,age,gender,thermal_sensation,pmv,thermal_comfort,ppd
fan,window,door,heater,t_out,rh_out,t_out_isd,rh_out_isd,set,pmv,ppd,pmv_ce,ppd_ce,t_mot_isd
,,,,15.860000000000005,99.1,16.295833333333334,86.83751436793656,28.1,0.5,10.2,0.38,8,17.4
,,,,15.860000000000005,99.1,16.295833333333334,86.83751436793656,27.2,0.4,8.4,0.4,8.4,17.4
,,,,15.860000000000005,99.1,16.295833333333334,86.83751436793656,24.8,-0.07,5.1,-0.07,5.1,17.4
,,,,15.860000000000005,99.1,16.295833333333334,86.83751436793656,25.5,0.31,7,0.14,5.4,17.4
,,,,15.860000000000005,99.1,16.295833333333334,86.83751436793656,26,0.05,5,-0.06,5.1,17.4
,,,,15.860000000000005,99.1,16.295833333333334,86.83751436793656,23.1,-0.56,11.6,-0.62,13,17.4
,,,,15.860000000000005,99.1,16.295833333333334,86.83751436793656,26.6,0.19,5.7,0.22,6,17.4
,,,,15.860000000000005,99.1,16.295833333333334,86.83751436793656,23.4,-0.32,7.1,-0.32,7.1,17.4
,,,,15.860000000000005,99.1,16.295833333333334,86.83751436793656,26.8,0.01,5,-0.08,5.1,17.4
,,,,15.860000000000005,99.1,16.295833333333334,86.83751436793656,23.2,-0.39,8.2,-0.37,7.8,17.4
,,,,17.4,82.4,16.8625,72.37609828412526,27.2,0.2,5.8,0.15,5.4,17
,,,,17.4,82.4,16.8625,72.37609828412526,23.2,-0.47,9.7,-0.38,8,17
,,,,17.4,82.4,16.8625,72.37609828412526,25.1,0,5,-0.19,5.7,17
,,,,15.735,85.05,15.4375,80.33192244454344,26.2,0.18,5.7,0.19,5.8,15.6
,,,,11.675000000000002,80.87499999999999,12.229166666666666,60.955430263757904,25.7,0.06,5.1,-0.04,5,11.3
,,,,11.675000000000002,80.87499999999999,12.229166666666666,60.955430263757904,27.6,0.37,7.9,0.37,7.9,11.3
,,,,11.675000000000002,80.87499999999999,12.229166666666666,60.955430263757904,,-0.42,8.7,,,11.3
,,,,11.675000000000002,80.87499999999999,12.229166666666666,60.955430263757904,,-0.14,5.4,,,11.3
,,,,11.675000000000002,80.87499999999999,12.229166666666666,60.955430263757904,,0.44,9,,,11.3
,,,,11.675000000000002,80.87499999999999,12.229166666666666,60.955430263757904,,-0.55,11.3,,,11.3
,,,,11.675000000000002,80.87499999999999,12.229166666666666,60.955430263757904,24.7,-0.31,7.1,-0.32,7.1,11.3
,,,,11.93,80.74,11.870833333333334,61.23234033292915,23,-0.73,16.2,-0.68,14.8,11.4
,,,,11.93,80.74,11.870833333333334,61.23234033292915,24.2,-0.45,9.2,-0.41,8.4,11.4
,,,,11.93,80.74,11.870833333333334,61.23234033292915,23.4,-0.6,12.6,-0.6,12.6,11.4
,,,,11.93,80.74,11.870833333333334,61.23234033292915,,-1.25,37.8,,,11.4
,,,,11.93,80.74,11.870833333333334,61.23234033292915,27.5,0.36,7.7,0.23,6.1,11.4
,,,,11.93,80.74,11.870833333333334,61.23234033292915,25.8,-0,5,0.04,5,11.4
,,,,11.93,80.74,11.870833333333334,61.23234033292915,24.6,-0.37,7.9,-0.37,7.9,11.4
,,,,11.93,80.74,11.870833333333334,61.23234033292915,25.3,-0.16,5.5,-0.22,6,11.4
,,,,7.5305,92.75,8.720833333333333,74.66314721308672,,-0.96,24.3,,,11.5
,,,,7.5305,92.75,8.720833333333333,74.66314721308672,27.2,0.21,5.9,0.2,5.9,11.5
,,,,7.5305,92.75,8.720833333333333,74.66314721308672,,-0.75,16.7,,,11.5
,,,,7.5305,92.75,8.720833333333333,74.66314721308672,27.1,0.16,5.5,-0.05,5,11.5
